<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	151.09	157.04	150.58	155.90	203	215000	1
2019.01.03	155.89	156.90	153.99	156.90	168	14990	1
2019.01.04	155.01	158.79	155.01	157.74	182	21810	1
2019.01.07	157.75	158.52	155.01	156.85	149	13480	1
2019.01.08	158.35	158.35	156.28	157.93	167	20570	1
2019.01.09	158.45	160.57	158.45	160.45	351	76570	1
2019.01.10	160.44	161.22	159.70	160.80	173	24700	1
2019.01.11	160.78	160.91	160.12	160.71	157	37450	1
2019.01.14	160.96	161.88	160.15	161.88	284	21540	1
2019.01.15	161.47	161.88	160.00	160.90	243	27160	1
2019.01.16	160.51	161.80	160.51	161.80	168	24820	1
2019.01.17	161.80	163.95	160.90	163.22	200	28930	1
2019.01.18	163.99	165.19	163.99	164.55	194	17240	1
2019.01.21	165.00	165.00	162.69	164.54	212	18010	1
2019.01.22	163.99	164.38	162.33	163.00	194	38650	1
2019.01.23	164.49	165.36	163.79	165.36	182	23640	1
2019.01.24	165.65	167.03	165.37	167.03	179	20640	1
2019.01.28	164.01	164.82	162.14	163.27	382	36190	1
2019.01.29	163.28	165.57	163.23	163.23	295	29200	1
2019.01.30	164.84	165.90	163.93	165.45	191	21800	1
2019.01.31	166.79	168.41	166.32	166.32	233	33220	1
2019.02.01	166.81	167.46	164.65	167.38	437	38180	1
2019.02.04	167.38	168.71	165.79	168.71	263	23900	1
2019.02.05	168.51	168.74	167.00	167.95	357	82990	1
2019.02.06	167.73	167.73	161.95	161.95	424	72860	1
2019.02.07	164.55	164.55	160.01	161.29	174	25320	1
2019.02.08	161.73	163.10	159.88	163.10	156	23590	1
2019.02.11	164.00	164.00	160.58	161.37	262	25580	1
2019.02.12	163.56	165.20	163.00	164.46	223	23650	1
2019.02.13	165.32	165.34	163.52	164.12	185	17740	1
2019.02.14	164.71	167.67	162.50	167.67	168	11500	1
2019.02.15	167.67	168.05	166.35	167.06	181	20370	1
2019.02.18	166.70	166.99	164.69	164.94	173	28910	1
2019.02.19	165.88	168.12	165.01	167.25	160	14410	1
2019.02.20	168.35	168.84	165.00	165.32	265	18580	1
2019.02.21	166.74	168.75	164.44	165.93	140	15330	1
2019.02.22	166.01	168.00	166.01	167.39	114	6870	1
2019.02.25	168.00	168.20	166.53	166.80	198	17790	1
2019.02.26	167.00	167.84	166.94	167.45	113	11260	1
2019.02.27	167.02	167.35	166.17	166.67	151	10880	1
2019.02.28	166.70	166.91	163.50	165.00	261	31580	1
2019.03.01	163.55	165.00	161.95	162.20	180	20130	1
2019.03.06	163.90	163.90	161.07	161.20	130	13540	1
2019.03.07	161.00	164.00	160.71	162.00	145	15080	1
2019.03.08	161.96	164.00	160.00	163.32	160	11260	1
2019.03.11	163.32	168.00	163.32	168.00	104	9100	1
2019.03.12	168.00	168.25	166.93	167.66	153	11830	1
2019.03.13	167.66	170.20	167.14	169.70	194	47060	1
2019.03.14	169.79	170.21	167.76	168.94	179	95540	1
2019.03.15	169.46	170.18	168.02	169.89	129	20190	1
2019.03.18	170.00	171.96	167.95	171.56	146	11070	1
2019.03.19	171.56	173.00	170.22	170.83	241	21030	1
2019.03.20	171.00	171.00	167.88	167.95	213	18800	1
2019.03.21	168.00	168.00	163.63	165.65	329	21890	1
2019.03.22	165.62	167.00	160.10	160.77	414	77540	1
2019.03.25	160.76	161.69	159.65	160.54	428	36610	1
2019.03.26	160.86	163.15	160.86	163.08	142	15600	1
2019.03.27	162.95	162.95	157.60	157.60	331	39000	1
2019.03.28	157.61	162.32	157.00	161.50	245	20530	1
2019.03.29	162.55	164.26	162.00	163.19	149	13740	1
2019.04.01	163.46	165.85	163.46	164.40	204	14940	1
2019.04.02	165.00	166.13	162.26	163.75	117	77870	1
2019.04.03	163.87	165.90	160.40	162.07	293	47380	1
2019.04.04	162.07	165.10	161.20	165.06	202	27680	1
2019.04.05	165.13	166.61	164.90	166.00	152	12770	1
2019.04.08	165.98	167.29	165.83	166.75	207	26530	1
2019.04.09	166.68	166.68	163.89	164.98	158	24800	1
2019.04.10	164.07	165.13	164.07	164.54	113	19320	1
2019.04.11	164.00	164.00	161.50	162.50	134	60240	1
2019.04.12	160.42	162.26	158.70	158.90	203	28170	1
2019.04.15	158.95	161.50	158.90	159.48	223	80310	1
2019.04.16	159.57	162.55	159.01	161.64	131	52740	1
2019.04.17	162.66	162.71	158.30	159.63	165	39720	1
2019.04.18	162.25	162.55	159.81	161.97	95	13780	1
2019.04.22	162.91	162.91	160.40	161.72	138	9950	1
2019.04.23	162.81	164.80	162.81	163.98	132	12070	1
2019.04.24	163.94	164.87	161.00	162.73	403	95310	1
2019.04.25	160.79	164.77	160.79	164.60	119	20420	1
2019.04.26	164.38	164.89	163.61	164.63	132	11660	1
2019.04.29	165.00	165.99	163.87	164.24	130	37170	1
2019.04.30	165.00	165.43	163.63	164.52	161	73990	1
2019.05.02	163.00	163.80	162.92	163.42	90	10070	1
2019.05.03	165.69	165.69	163.92	164.05	108	5860	1
2019.05.06	162.99	162.99	161.50	162.50	1255	157230	1
2019.05.07	162.47	162.47	158.50	161.34	415	37730	1
2019.05.08	162.55	164.45	161.01	163.10	135	29590	1
2019.05.09	161.60	162.85	160.38	161.90	423	76130	1
2019.05.10	164.37	164.37	159.36	160.80	249	84520	1
2019.05.13	159.50	160.00	156.50	156.61	288	54550	1
2019.05.14	158.61	158.70	156.50	157.25	119	13240	1
2019.05.15	156.13	156.49	154.21	156.43	251	98600	1
2019.05.16	156.43	157.00	153.25	155.76	412	41170	1
2019.05.17	155.76	155.76	152.67	153.78	326	39200	1
2019.05.20	154.93	157.00	153.78	156.70	151	17030	1
2019.05.21	157.47	161.40	157.00	161.29	182	24480	1
2019.05.22	161.31	162.20	160.79	160.93	122	12510	1
2019.05.23	160.88	160.93	159.50	160.36	146	34580	1
2019.05.24	161.50	162.00	159.31	159.73	1676	170230	1
2019.05.27	161.13	162.97	160.38	162.06	161	21290	1
2019.05.28	162.75	164.79	161.79	164.79	128	13220	1
2019.05.29	164.94	165.50	162.70	164.77	139	27170	1
2019.05.30	164.78	167.00	164.78	166.18	209	20600	1
2019.05.31	165.91	166.99	165.00	165.32	143	18420	1
2019.06.03	165.31	166.56	164.50	165.60	584	100640	1
2019.06.04	165.64	166.30	164.62	166.05	1255	227270	1
2019.06.05	166.99	166.99	163.41	163.54	119	27670	1
2019.06.06	164.00	166.03	163.82	165.63	169	38700	1
2019.06.07	166.35	167.49	165.50	166.61	184	62600	1
2019.06.10	166.49	166.70	165.00	166.22	161	36180	1
2019.06.11	166.50	168.90	166.50	168.71	145	70080	1
2019.06.12	168.70	169.48	167.00	167.46	114	8720	1
2019.06.13	167.49	169.27	167.46	168.30	89	9530	1
2019.06.14	168.29	169.38	166.35	167.00	207	40700	1
2019.06.17	167.00	167.78	166.24	166.24	86	7130	1
2019.06.18	167.89	169.36	167.83	169.36	3239	71190	1
2019.06.19	169.36	171.00	168.79	170.98	209	20360	1
2019.06.21	171.12	174.09	171.12	174.03	3417	79110	1
2019.06.24	174.03	175.05	173.47	174.10	173	25120	1
2019.06.25	174.10	174.10	170.81	170.81	139	20340	1
2019.06.26	171.00	174.01	171.00	171.82	2391	94860	1
2019.06.27	171.62	172.33	169.80	171.70	2202	48910	1
2019.06.28	173.07	173.18	171.93	172.14	882	46420	1
2019.07.01	174.02	174.99	172.57	172.90	3187	82220	1
2019.07.02	172.90	173.25	170.83	171.85	208	9450	1
2019.07.03	173.93	174.61	171.66	174.10	648	98730	1
2019.07.04	174.98	177.50	174.98	176.82	211	19740	1
2019.07.05	176.82	177.83	175.29	177.52	172	9300	1
2019.07.08	177.56	178.67	177.52	178.53	193	20140	1
2019.07.10	179.22	181.85	179.22	180.39	282	93900	1
2019.07.11	180.15	181.98	178.85	179.05	265	39950	1
2019.07.12	181.79	181.79	177.01	177.01	525	128670	1
2019.07.15	177.07	181.91	176.60	176.90	252	61020	1
2019.07.16	177.00	181.29	176.20	176.82	1127	34860	1
2019.07.17	177.46	178.20	176.77	177.13	6365	76020	1
2019.07.18	177.96	178.74	177.39	178.47	146	37590	1
2019.07.19	178.97	179.00	176.40	176.40	165	21460	1
2019.07.22	176.41	180.01	176.41	177.20	224	53130	1
2019.07.23	178.20	179.61	176.63	177.06	254	52520	1
2019.07.24	177.51	178.42	177.22	177.59	96	8270	1
2019.07.25	178.50	178.50	174.67	174.85	262	74270	1
2019.07.26	176.97	176.97	174.21	174.90	92	15350	1
2019.07.29	175.33	176.05	174.40	176.05	146	52150	1
2019.07.30	176.05	177.17	170.00	174.90	270	42640	1
2019.07.31	174.90	175.90	171.73	173.08	308	42800	1
2019.08.01	174.07	176.73	173.08	173.33	243	74230	1
2019.08.02	175.89	175.89	172.94	174.30	282	22670	1
2019.08.05	173.30	173.30	169.00	170.04	6825	196790	1
2019.08.06	172.00	173.95	171.00	173.29	181	19060	1
2019.08.07	173.24	175.85	170.50	174.33	276	28270	1
2019.08.08	175.87	176.79	175.01	176.57	283	34260	1
2019.08.09	176.56	177.63	175.20	176.07	234	47890	1
2019.08.12	174.79	174.95	172.30	172.70	172	28500	1
2019.08.13	172.50	176.80	171.06	175.20	180	42330	1
2019.08.14	173.00	173.00	167.10	169.78	285	59590	1
2019.08.15	171.39	171.40	166.60	168.00	329	42260	1
2019.08.16	169.40	171.00	168.05	169.99	184	31440	1
2019.08.19	170.97	171.90	167.64	168.57	340	74720	1
2019.08.20	168.61	170.01	166.16	168.10	2486	78360	1
2019.08.21	168.95	171.42	168.72	171.18	235	31210	1
2019.08.22	171.00	172.00	169.49	171.00	179	30450	1
2019.08.23	168.91	170.97	164.54	165.55	342	43080	1
2019.08.26	166.41	167.04	162.50	163.47	292	40860	1
2019.08.27	164.60	165.69	161.21	164.85	409	83830	1
2019.08.28	164.50	168.00	162.70	167.00	347	57080	1
2019.08.29	168.30	170.63	167.44	170.09	289	54070	1
2019.08.30	170.24	172.00	170.24	171.26	357	47380	1
2019.09.02	171.20	172.02	169.60	170.40	348	75420	1
2019.09.03	171.51	172.21	168.31	168.74	349	86090	1
2019.09.04	171.10	173.98	170.03	171.22	1289	74230	1
2019.09.05	172.84	175.29	172.46	173.25	256	30550	1
2019.09.06	174.47	176.45	172.33	174.78	296	48200	1
2019.09.09	175.63	178.55	174.99	175.31	354	63940	1
2019.09.10	175.00	176.15	174.00	175.12	290	45100	1
2019.09.11	176.31	177.22	174.81	175.51	186	25270	1
2019.09.12	175.77	177.62	175.70	177.13	417	94920	1
2019.09.13	177.13	177.76	175.45	176.00	142	14370	1
2019.09.16	175.60	176.54	174.80	175.50	147	23690	1
2019.09.17	175.50	177.40	174.36	177.40	185	27650	1
2019.09.18	177.39	178.55	174.36	177.35	235	42400	1
2019.09.19	177.51	179.85	176.81	176.81	254	32340	1
2019.09.20	176.81	178.42	176.35	177.73	255	34290	1
2019.09.23	177.99	177.99	176.60	177.40	109	17280	1
2019.09.24	177.40	178.00	175.67	176.50	198	44240	1
2019.09.25	176.44	177.21	174.88	177.15	282	28840	1
2019.09.26	177.02	178.99	177.01	178.99	145	17240	1
2019.09.27	178.50	179.47	177.40	178.55	262	66080	1
2019.09.30	178.18	179.00	177.30	179.00	134	80660	1
2019.10.01	178.75	178.75	175.97	176.25	3066	103280	1
2019.10.02	175.89	175.89	170.86	170.93	1549	73690	1
2019.10.03	172.97	172.97	169.10	171.60	784	88580	1
2019.10.04	172.79	173.55	171.00	173.55	412	37890	1
2019.10.07	173.02	173.42	170.05	170.05	340	23570	1
2019.10.08	171.25	171.35	168.90	169.25	264	30750	1
2019.10.09	172.52	172.52	169.51	171.41	222	26920	1
2019.10.10	171.30	173.47	171.30	172.50	211	26040	1
2019.10.11	174.35	176.65	174.35	175.70	404	35250	1
2019.10.14	174.75	176.57	174.75	176.41	638	19700	1
2019.10.15	176.19	177.88	176.19	176.80	272	7850	1
2019.10.16	176.02	178.16	175.55	178.16	272	16120	1
2019.10.17	178.30	179.26	177.48	177.54	217	20640	1
2019.10.18	177.50	178.18	176.44	176.44	211	11160	1
2019.10.21	177.00	179.19	177.00	179.19	145	8900	1
2019.10.22	179.18	181.80	179.18	181.71	337	23080	1
2019.10.23	181.64	182.99	181.01	182.27	473	21730	1
2019.10.24	182.27	182.90	180.70	181.10	162	202280	1
2019.10.25	181.20	183.06	181.20	181.70	1684	26320	1
2019.10.28	183.44	183.65	182.05	183.50	218	19630	1
2019.10.29	183.69	183.69	181.83	182.08	126	11500	1
2019.10.30	182.96	183.49	180.63	183.49	156	13230	1
2019.10.31	183.32	183.32	180.14	181.37	191	21980	1
2019.11.01	182.01	183.72	182.01	182.87	919	28810	1
2019.11.04	183.99	185.00	183.35	184.10	364	31670	1
2019.11.05	185.30	185.44	183.01	184.02	190	16290	1
2019.11.06	184.52	185.00	181.91	183.22	339	98010	1
2019.11.07	184.09	185.63	183.58	185.63	208	23210	1
2019.11.08	183.82	184.40	181.45	182.19	411	37730	1
2019.11.11	182.19	183.48	181.16	183.48	529	20210	1
2019.11.12	184.16	184.16	179.97	181.00	693	64450	1
2019.11.13	180.89	180.89	178.10	179.54	601	47830	1
2019.11.14	179.54	180.65	179.10	180.01	323	21560	1
2019.11.18	180.71	183.00	179.60	179.60	367	23020	1
2019.11.19	181.92	181.99	178.23	179.05	126	11720	1
2019.11.21	179.06	181.42	179.06	181.42	213	23600	1
2019.11.22	181.42	183.80	181.00	183.80	173	25380	1
2019.11.25	183.80	184.21	182.82	183.13	1236	27980	1
2019.11.26	183.15	183.15	179.95	181.01	177	17200	1
2019.11.27	181.79	182.53	179.65	182.00	242	21540	1
2019.11.28	182.00	183.49	180.79	183.48	133	23070	1
2019.11.29	182.88	183.71	182.00	182.90	317	27220	1
2019.12.02	183.01	185.10	183.00	184.36	790	27030	1
2019.12.03	184.60	184.99	183.01	183.50	253	20560	1
2019.12.04	183.60	186.78	183.60	186.54	1326	35270	1
2019.12.05	186.01	188.13	185.99	187.59	227	16230	1
2019.12.06	188.99	189.09	187.94	188.13	107	11800	1
2019.12.09	188.13	188.52	187.57	187.89	101	7980	1
2019.12.10	187.00	188.31	186.19	187.06	399	32780	1
2019.12.11	187.90	189.50	185.62	187.69	403	85770	1
2019.12.12	188.63	190.18	188.26	188.26	6500	76920	1
2019.12.13	190.01	191.14	189.35	190.23	216	28970	1
2019.12.16	191.18	191.44	189.04	189.04	194	15450	1
2019.12.17	190.90	190.90	189.46	190.25	151	16460	1
2019.12.18	190.89	193.35	190.50	193.35	157	14190	1
2019.12.19	193.35	194.51	192.34	194.37	754	19470	1
2019.12.20	194.37	194.98	193.47	194.51	528	13210	1
2019.12.23	193.50	196.02	193.50	196.02	377	28700	1
2019.12.26	196.00	198.24	195.90	198.19	576	14380	1
2019.12.27	198.19	198.94	195.17	197.03	626	57100	1
2019.12.30	198.29	198.29	195.12	195.15	144	29130	1
2020.01.02	197.99	200.00	196.00	199.90	584	37460	1
2020.01.03	198.25	201.00	198.00	198.25	554	34030	1
2020.01.06	196.01	198.51	194.50	197.15	1413	264630	1
2020.01.07	197.15	197.40	195.78	196.97	311	24670	1
2020.01.08	196.31	198.65	192.80	195.90	467	70980	1
2020.01.09	196.85	197.20	193.50	195.08	320	98360	1
2020.01.10	195.46	196.52	193.13	194.30	437	64820	1
2020.01.13	195.75	197.84	195.75	197.84	234	54640	1
2020.01.14	197.84	198.41	196.52	197.88	191	20180	1
2020.01.15	197.85	197.85	195.62	196.10	578	77250	1
2020.01.16	196.40	197.11	195.33	196.30	719	11880	1
2020.01.17	196.30	199.44	196.30	199.44	162	7600	1
2020.01.20	199.79	200.23	198.64	200.23	210	77320	1
2020.01.21	200.23	200.23	196.88	196.88	876	59260	1
2020.01.22	198.98	199.13	197.81	199.13	302	8730	1
2020.01.23	197.87	201.42	196.60	201.22	369	37450	1
2020.01.24	201.25	201.25	199.21	199.32	572	15330	1
2020.01.27	198.55	198.55	192.80	192.89	446	103660	1
2020.01.28	192.89	196.67	192.89	196.07	832	53980	1
2020.01.29	197.00	197.48	194.16	194.36	165	28510	1
2020.01.30	192.53	194.80	187.60	194.80	554	172300	1
2020.01.31	193.00	193.00	190.46	191.45	1637	34100	1
2020.02.03	191.45	193.99	190.80	192.60	286	29640	1
2020.02.04	194.31	196.05	193.97	194.14	210	11260	1
2020.02.05	195.06	197.73	195.01	195.01	173	8830	1
2020.02.06	197.30	197.50	193.21	193.93	198	140840	1
2020.02.07	193.00	194.02	191.43	191.43	1747	37420	1
2020.02.10	191.00	192.08	189.01	189.75	477	78270	1
2020.02.11	191.79	194.64	191.16	194.26	2525	79320	1
2020.02.12	194.81	198.13	194.81	196.30	1080	28260	1
2020.02.13	194.40	195.14	192.45	194.73	804	61100	1
2020.02.14	194.73	194.90	192.25	192.64	1439	90640	1
2020.02.17	194.00	195.50	192.85	194.07	1826	35320	1
2020.02.18	193.68	193.68	191.24	193.63	575	39410	1
2020.02.19	193.99	196.34	193.99	196.27	283	72340	1
2020.02.20	196.00	196.55	192.72	192.78	457	20100	1
2020.02.21	192.21	192.21	189.80	191.05	610	77660	1
2020.02.26	184.00	184.00	176.50	177.79	743	89370	1
2020.02.27	175.97	179.05	172.78	173.20	2114	142520	1
2020.02.28	172.94	175.90	168.12	175.90	1258	144080	1
2020.03.02	175.88	179.98	174.04	178.60	2417	157320	1
2020.03.03	179.98	184.18	175.35	176.80	292	77230	1
2020.03.04	180.75	180.79	175.84	179.71	1126	93720	1
2020.03.05	179.47	181.94	168.39	171.40	5701	184070	1
2020.03.06	166.23	168.08	161.87	163.87	9993	371820	1
2020.03.09	152.98	153.00	140.75	143.55	4096	392550	1
2020.03.10	150.00	155.99	145.20	153.00	2446	259650	1
2020.03.11	150.82	150.82	134.82	141.40	1345	143590	1
2020.03.12	121.29	127.98	113.02	120.90	2066	244370	1
2020.03.13	132.93	139.60	121.42	137.70	2615	987150	1
2020.03.16	121.90	127.99	117.01	118.84	7967	719450	1
2020.03.17	122.36	130.00	117.01	124.10	9150	338240	1
2020.03.18	117.01	119.98	105.50	111.35	1478	93550	1
2020.03.19	109.00	116.78	102.11	113.41	1036	278480	1
2020.03.20	120.00	120.48	110.00	111.00	804	93630	1
